Service,Description,Micro Category,Macro Category,Service Category,Discounted Price,Original Price,Location,Hours,Discounted?
Lash Tinting,,Tinting,Eyelash,Hair,,25,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Tint Eyelash,,Tinting,Eyelash,Hair,,17,Diane Nails Care,"Mon-Fri 10:30am-8pm, Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Tint Eyelash,,Tinting,Eyelash,Hair,,20,Elegant Nails Salon,Mon - Sun 9am-7:30pm,FALSE
Tint Eyelash,,Tinting,Eyelash,Hair,,20,Fingertips Nail Salon,Mon - Sat 9:30am-7:30pm,FALSE
Tint Eyelash,Darken your lashes without mascara,Tinting,Eyelash,Hair,,20,It's M3 Time Nail Salon,"Mon-Fri 10am-7:30pm, Sat 10am-7pm, Sun 11am-6:30pm",FALSE
Eyelash tint,,Tinting,Eyelash,Hair,,20,Lotus Nail Salon,"Mon-Sat 10am-7:30pm, Sun 10:30am-7pm",FALSE
Lash Tint,,Tinting,Eyelash,Hair,,7,Nail Today,"Mon-Sat 9:30am-7:30pm, Sun 10am-7pm",FALSE
Eyelash Tint,,Tinting,Eyelash,Hair,,20,Nali Nails & Spa,"Mon-Sat 9:30am-7:30pm, Sun 10am-7pm",FALSE
Lash Removal,,Removal,Eyelash,Hair,,50,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Eyelash Perm,,Perm,Eyelash,Hair,,45,Elegant Nails Salon,Mon - Sun 9am-7:30pm,FALSE
Eyelash perm,,Perm,Eyelash,Hair,,30,Rosy Heels,Mon-Sat 9:30am-7pm,FALSE
Volume HD Full Set (2-2.5 hours),"Volume lashes are designed for you if you’re wanting full & thick but not over-the-top. Get the look of falsies without the peel ups by applying 3-5 synthetic lashes per natural lash.
Volume Fill (2 wks) 1 hr $115
Volume Fill (3 wks) 1.5 hr $140
Must have 40% of lashes to be considered a fill!",Lift,Eyelash,Hair,,235,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
